Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
105145,B001T7I82U,AFK6U9GVTDMMM,Kathy,0,0,3,1240185600,purchased as gift,"This was purchased as a gift.  My sister said they tasted very good and were really cute.  However, for the $$ you pay, she only got 8 cookies."
222400,B004E4CCSQ,A1RFZGWX46N8H7,"FlamingoNut ""Tracey""",0,1,1,1331510400,Undrinkable,"I recently tried Snapple Peach Tea and became hooked, never been a fan of peach in the first place.  I jumped at the chance for the opportunity to try this flavor of Mio.  Needless to say, it was a huge disappointment, as most Mio's have been to me (I LOVE the Fruit Punch).  It's all peach, I don't taste any tea.  Maybe it's meant to be squeezed into plain tea?  But I have reservations about wasting a good cup of iced tea by adding this enhancer..."
514103,B001BETMEO,AY8AFLULNN746,Heather M Thomas,0,0,1,1302393600,Beware! Not the product shown in picture!,"Amazon, please update your picture for accurate product info.<br /><br />If you are looking for this product made with yogurt, this is NOT it despite what the picture shows. Purina has changed the recipe, and its hard to find the old formula that was made with yogurt. My cat has a sensitive stomach and has thrown up all foods we have tried besides the type made with yogurt. Now that the recipe has changed, he is throwing up daily again. I was so excited to see I could buy the yogurt version on AMAZON in bulk... till it arrived. This is not the product I wanted, the picture is very misleading considering their disclaimer says that all ingredients may not be listed on the site. Its on the picture so I thought I would get what I saw."
68700,B000FJLXHU,A3I37VUWFAX6RW,D&H M,1,7,1,1325289600,Unable to make work,"I'm a novice rice-roll maker, but I was completely unable to make this rice come out correctly.  I tried a rice maker, on the stove top, tried less water, tried more water, tried less heat, more heat, longer simmering--all a cup of rice at a time.  I'm almost done with the bag and won't buy it again.<br /><br />My rice doesn't soak up enough water.  It's hard in the middle and slimy on the outside.  I bought similar rice at the local grocery store and have had perfect results with it almost every time.<br /><br />Looking at the other reviews makes me think it's something I'm doing wrong, but I have tried every combo of preparing that I can think of."
46282,B001EO5KSS,AX8JGGKA9HRX8,Chris,0,0,4,1215993600,Great granola bars,These are great!  Our whole family likes them.  They are wonderful as a dessert too!  Whenever I really want crunch and Peanut butter this is what I go for. The only reason I don't give it a 5 star is because they do have too much fat in them.  If eatting both little bars they have 9 grams.  I tend to split it w/ someone or just eat it for breakfast!  Still it is organic and does have fiber and soooo much better than a candy bar!
25048,B0078Y6OX8,A2Z0UU1XYGFLC2,"EPRives2012 ""Ezequiel""",0,0,4,1302825600,a great deal and a good brew,"I must say that I bought this for two reasons. One, because the price was right and second, because it had CHOCOLATE. I actually liked this one better than others except it is no Cafe Mocha. What can I say, I'm going to search now for a Cafe Mocha here on Amazon. If the price is right i'll buy it."
89245,B000E1FZ4Q,A1ZSF5CJ0A4CIO,Fancy Trimmins,1,3,2,1296864000,Not impressed,"Chose this one because of the creamy cheese vs the powdered cheese even though it was more expensive. I put it on Subscribe and Save because I was certain the family would be wanting it all the time and it would save me time and effort making it from scratch all the time. Received it yesterday afternoon and made it last night for the family as a surprise side dish. It was awful. I don't know if I got a bad batch but the smell of the creamy cheese when I began mixing it with the hot pasta was so foul and nasty I had to open the kitchen windows to clear the stench out of the house. Mind you we're in MA with over 6' of snow right now piled everywhere and filling every nook and cranny available and minus temps and wind chills so believe me, I wouldn't have opened the windows and propped the back door open to get rid of the smell if it wasn't absolutely necessary.<br /><br />I remember having this as a kid, both powdered and creamy cheese but I sure don't recall it having a smell like this. It ruined all our appetites. Because the smell lingered throughout the house, we ended up leaving the house for a while and going out to eat after riding in the open air to clear our nostils. Terrible experience. I was thinking of keeping the remainder of the first order and making it when no one else is home to give to the 5 dogs, but on second thought, if it is a bad batch, I certainly don't want to feed it to my 4-legged babies. Out in the trash it goes and the S&S order canceled.<br /><br />Must admit I'm disappointed. I was hoping to be able to cheat now and then with mac and cheese I didn't have to make from scratch but if this is the alternative, I'll stick to my homemade recipe each and every time."
302938,B001H9N2WG,A16VYANNC6ZVEL,bevi,0,0,4,1289174400,scary eyeballs,I used them on top of cup cakes for my neighbors.  Since some of them have small children it was very nice they are edible.  Also it saved me time decorating.
189260,B000SARJO2,A3UDZU8QHJID98,nyc hawk,1,4,2,1279065600,Very big disappointment,"I ordered several bulk teas from Davidson's  (Silver Needles, very low quality 1 stars, Chamomile 2 stars, Green with Lemon Ginseng &  Oothu Green a bit better 3 stars) 3 packaged very poorly and looked like very old stock. I didn't like the taste of any - but this not about my subjective taste just the quality of the product. I have been on a tea kick and have purchased about 15 different bulk teas from several different sources and everyone was superior in quality and taste many were less expensive as well. All were brewed according to accepted standards -following the directions did make a big difference in taste"
475246,B0002ASQU4,A7NB81YABA4WH,Sasha,0,0,2,1294876800,"Sturdy, but dog wasn't very interested","It is indeed very sturdy and withstands chewing for a long time, but after eating less than a third, my dog (a Doberman) wasn't interested. It's been just lying around ever since, sometimes he plays with it, sometimes licks it, but doesn't want to keep chewing on it. This is while other rawhide chew bones we've tried he ate completely without much delay."
423695,B007MJEBZ2,AMI13NWMHOFR0,susan west,0,0,1,1348704000,crushed,My chips arrived crushed.  I was so disappointed! They had a packing piece in the gox which I believe was the cause of the crushing.  All the air was out of each bag.
220976,B0085E7B8W,A27H220M6SP7FS,"J. Conley ""cayeta""",0,0,4,1302480000,Couldn't get much closer to traditional sweet tea!,"I just bought this despite the reviews that insist it is not sweet enough. With the first sip, I thought they were right. Then, I stirred and it was just right! This wasn't as sweet as McDonalds but it reminded me more of Cracker Barrels tea."
61378,B001EO5R04,A3DQWFWINN3V5A,David A. Lessnau,0,2,2,1286928000,Bitter Grass Clippings,"I don't much care for this Stash Premium Loose Green Tea.  I'm no tea expert, but I've got several problems with it.  Flavor-wise, I find this tea to be bitter with a grassy taste (that's not a good flavor, to me).  Texture-wise, the tea ""leaves"" range from almost half-inch long thin shards of leaves down to 1/16th of an inch sized remnants (I've uploaded a picture so you can see for yourself).  The mishmash of textures makes it difficult to portion out the leaves and results in a lot of the small stuff making its way through the infuser of my <a href=""http://www.amazon.com/gp/product/B0010NR7C0"">Bodum YoYo Personal Tea Set with Infuser and 12-Ounce Glass</a> (admittedly, a finer meshed infuser might not have as much of an issue here).  Also, the wide range of textures indicates (to me) that these tea leaves might not necessarily have been chosen for inclusion.  Instead, it feels like they might just have been leftovers from other processes (that's merely my non-knowledgeable feelings and not based on any hard facts).  On a positive note, I will say that the steeped beverage does have a very nice yellowish green color.  Overall, though, I have to rate this tea at a not-very-good 2 stars out of 5.  A green tea that I do like is <a href=""http://www.amazon.com/gp/product/B000F4H5FE"">Twinings Green Gunpowder Tea, Loose Tea, 3.53-Ounce Tins (Pack of 6)</a>."
48135,B004SRH2B6,A35AP1QIPWMZXW,"Thomas Math ""tmmath""",5,8,1,1274486400,horrible,The Zico coconut juice in the old tetrapak was great the new in the bottle is the worst I ever had.Just poured 12 bottles down the toilet.
105716,B003L8VGFQ,A3TGR14AGWREDD,"Karen J. O'neill ""kjoinc2""",3,3,5,1321228800,GREAT SALSA,"I love this salsa because it is natural and not too tomato based.  Some salsas are made with tomato sauce like base. This is diced tomatoes, onion, pepper.  It is salty which I love.  I have only had the mild.  My store has discontinued it.  I am bummed.  Love it."
75947,B004V0GPRC,A3LOZ02OZCG7AL,TC,0,0,1,1341532800,Picture is deceiving,The rock candy on stick is about half of amount that is shown in picture.  Am not very happy about this.
324615,B0015AWU7U,A38Q8NO1N8QJL3,H. Owens-Burris,16,16,5,1223856000,Delicious!!!,These are my favorite suckers ever!!!<br />They are sooo good!<br />I am having trouble finding them in stores this year :(
526622,B007PA30TG,AW68KVDV7BBRS,"Joseph A. Nowak ""Prophotoman""",1,3,1,1285804800,Folgers instant is at least as good as this! Horrible stuff!,"Since I've had my Keurig K-cup coffee brewer I have never had such horrible coffee!  Tastes like cardboard!  I usually get either donut shop k cups or Paul Neuman's Own.  Also Midnight Express, ALL good.  But this Morning Blend junk isn't ANY good at all.  Never again!"
259250,B006UV31XQ,AZKAPYY0K1Q2F,Katelynn,0,0,5,1331337600,We love these!,These beans are sour! But not so sour my toddler can't eat them. They taste great also. And the little packages are only 69 calories. Great to throw in your purse or diaper bag for a snack.
435413,B003D39VCO,AYXOSXMBUAT1Y,Elliotte Rusty Harold,0,0,1,1343520000,Too Sour,"This coffee is simply too sour for my taste, even when cut with a lot of heavy cream and sweetener. I've never gotten a good cup of coffee out of this bag. Perhaps it's too coarsely ground for my coffee maker, or perhaps I just prefer a darker roast; but either way I won't ordering it again."
136618,B000JJXC70,A2FRFAQCWZJT3Q,"B. Davis ""The Happy Hermit""",2,2,2,1211932800,Eh,I have three cats.  One of them will eat these but only half-heartedly and I find the remains of some left behind so they are not a big hit.
27030,B0001IOSEU,A2SCIOHSEBWSGW,David Frickanisce,1,1,1,1308528000,Very disappointed.,"I am generally a fan of NOH products, in fact I ordered a 12 pack of the Fried Rice seasoning to get free shipping when I ordered a 12 pack of Char Siu which is why I was ordering in the first place.<br /><br />The package says you can season up to four cups of rice, I did about that, and it was basically bland, and tasteless.  I used pork Char Siu in with it, and that was fine, as I said, I am a big fan of NOHs Char Siu, but this stuff was about useless.<br /><br />I added extra Teriyaki sauce, just to give the rice some flavor, and it actually got better tasting the 2nd day.  I am going to try this again with about 2 cups of rice, just to see if its better in a smaller batch. I mean I got 11 more pouches of this stuff, I gotta find some use for it."
206409,B001HTN1JA,A2O86Y0QWD6AD3,saricabeads,0,1,5,1318464000,Yummy!!,"Love this Watermelon Essence water!  It is so refreshing!  I am really bad about drinking water throughout the day, but this product makes it easy.  I look forward to drinking it now."
206560,B004VLVJPO,A3CKFI4PD4O4BX,H. Chevere,1,1,5,1334793600,Excellent Flavor,"I soaked and cooked these in water without any flavoring and when I tasted to see if they were cooked through, I was pleasantly surprised.  They tasted really good and I actually considered leaving them like that.  No more conventional, canned garbanzos for me.<br /><br />These are very good tasting, high quality garbanzo beans.  Try them & see for yourself."
1944,B005ATI9EU,A3LR0Y3LGKAND4,Mase,1,1,2,1344556800,Okay but some weird flavors,"EDIT:  I just noticed each bag is only 1.76 pounds, not 2.2.  My review is not 2 stars instead of three.<br /><br />First off, as you can probably guess by the pictures, these are sour gummies.  That isn't said in the description.  Also, each one is about 2 to 2 1/2 inches in length and 1/2 inch wide.<br /><br />Texture and flavor:  The came to me soft and with the same texture as most gummies such as peach rings.  The sourness is average, not overwhelming but not too little.  Where I took off the 2 stars was the flavor (most important part).  As I chewed them, a few different flavors hit my tongue, none of which tasted that great.  I couldn't make out any of them in-particular (not good at that anyways) but the combination was just plain strange.<br /><br />I could see myself getting through one bag but will probably give the other 3 away to nephews/niece.  After all, they will eat anything sugar coated right?"
87592,B000BO73TQ,A28K0B4OVQKLHJ,Kathryn Oates,0,0,3,1329264000,Small bottle,"This is about the only product that we've found that'll keep the deer and rabbits from eating everything.  Unfortunately, I didn't notice this bottle is half the size of the one I  usually buy....so it's not such a good deal.  I could've bought it cheaper at my local Lowes store.  I won't purchase this product again on-line."
142258,B005R23G20,A1TP2HBX0ELOKU,Chris,0,0,4,1347667200,"Great product, shipped quickly","TThe oil shipped right away, 2 out of 4 of the cans were dented up a bit( probably during transit). I will buy this product again."
3203,B000084DVR,A3DKGXWUEP1AI2,"Glenna E. Bauer ""Puppy Mum""",3,3,5,1163030400,Premium Quality Dog Food!!!,"We have been using this food for about 6 months now and find it to be just excellent! Other than the fact our two dogs (a Coton de Tulear 15lbs, and Standard Poodle puppy 40lbs) both love the food, but are thriving.  Their coats are in excellent condition and their overall structure is perfect.  Good tasting to the dog and good for them and a good deal for the owner.  All around the best food we have ever used.  Excellent!!!"
239683,B003AO73JE,ACH055GTTIGC9,"Robert of Niagara ""Robert""",1,1,5,1272412800,Just plain good.,I have always been partial to a chocolate combo with caramel.<br />Ghirardelli makes a good product and the individual wee bars are nice. I put mine in the fridge at this time of the year. Great price today (when I bought)<br /><br />Cadbury has a bar called Caramilk. The chocolate is excellent but the caramel not my favourite.
560017,B001UFYG5Y,A3PS94981MVD3G,mikey,0,0,3,1339459200,Good enough,This is the first food item i have ever ordered online so i wasn't expecting much. I'm over seas so i think the taste of the muffins was a little odd at first due to the distance factor. Over all they are still the muffins i love at a resonable price so they are good enough for me.
196123,B00458IIPW,A3Q7C0V12LS2WF,"L. Muir ""Kubda""",0,0,4,1317254400,WONDERFUL!,"I got these for a reason.<br /><br />My eight year old Elizabeth and I make our Christmas cookies (at least one kind) evey year and they need decorations; now we have alot!<br /><br />ELIZABETH'S COOKIES<br /><br />1 box low salt Ritz crackers<br />1 jar name-brand peanut butter<br />1 pkg chocolate or white almond bark<br />Semi sweet chocolate chips, or white chocolate chips<br /><br />""Butter"" 2 crackers together, and set on waxed paper.  Keep doing this until you have 1 sleeve of the pkg done (pkg has 4 sleeves of crackers in it)<br /><br />Melt 5 squares of almond bark and 1/4 pkg of the chips you choose  in Microwave-bowl just till they melt, stir to smooth.<br /><br />Dip the cracker that are done with the peanut butter into the mixture and remove to waxed paper (Use a fork to dip the crackers). Be sure to cover all of the cracker(s).  Keep doing this until all crackers are done, melting more almond bark and chips as you need them.<br /><br />As cookies are cooling, put fancy decorations on top, such as these from Marshall's Creek!  We store our hardened cookies in plastic ice cream pals (with the lids on), on our screened-in porch. It is our Christmas-Treat area, and many stop on their way into the house for a treat!  I have to check the containers at night to be sure they are all closed!<br /><br />Linda Muir - Recipe Columnist Wisconsin State Farmer - Cook Book Writer<br /><br />We like chocolate almond bark with milk chocolate chips, and white almond bark with white chips the best.<br /><br />Do this at Valentine's and use the Red Sugars!<br /><br />Linda Muir - Recipe Columnist Wisconsin State Farmer - Cookbook Writer"
338116,B0029NVJNI,AEAWYYXDYYUVA,aptos,1,1,5,1257120000,works for my cat!,"We have one cat with both a sensitive stomach and hairball problems. I've tried quite a few treats, and these are one of the few I can give her that don't come back up."
414026,B0026KPDG8,A1ZC07EE366T09,Rocky,2,5,1,1298764800,Quality not what you find at local retailers,"I purchased two types, the original and the salt and vinegar. The original tasted burned, they were very tan/brown in color.  The vinegar were very sour.  Both cases were trashed & Amazon handled credit asap.  I have purchased these in grocery stores & airports and never had this quality problem.  These are pricey that's why I jumped at the great price Amazon offered this product.  Does Amazon got seconds?"
48144,B004SRH2B6,A2TN93CGHJ046O,doctord,1,2,1,1308268800,horrible synthetic taste,"I absolutely love the plain Zico Coconut water - I drink at least 1 or 2 of the large tetrapaks a week.  I have also enjoyed some of the other brands Mango flavored coconut water (O.N.E. and Vita).  So the logical progression was to try the Zico Mango.<br /><br />ABSOLUTELY HORRIBLE. You can't taste the Coconut, but instead are overpowered with this terrible synthetic tasting Mango flavor that leaves a disgusting aftertaste that almost ""stings"" the back of my tongue. Like I said before, I am almost addicted to coconut water, and I hate to let things go to waste - but I couldn't even finish this bottle.<br /><br />After looking at the ingredients - Coconut water from concentrate and Natural Flavors.  I don't know what type of ""natural flavors"" they are using, or what constitutes a ""natural flavor"".  Whatever it is, it's disgusting.<br /><br />I recommend trying one of the other brands coconut-mango mixes that actually adds small amount of Mango Puree."
90920,B000FBM3PO,A1FEP94TP15RG0,J. H. Baker,0,11,1,1245715200,Hazelnut (Filberts) in a fragile crescent shaped tea cookie.,"Delicate ground hazelnut cookies for a Ladies tea, NOT for children or most men! Appreciated only by sophisticated palates, because they are neither cloyingly sweet or fatty. Set these aside for unexpected guests you'd like to impress."
409910,B0028H1H32,A1Y9O894DVCEJP,MartyMcfly,1,1,4,1296864000,Delicious!,"The African Rooibos tea worked well for the Keurig coffee machine. Some teas tend to taste burnt because the machine makes the water too hot for green or black tea, but this red tea almost always came out nice. It is also pleasant to drink at any time since it is naturally caffeine free. And of course the single serving k-cups with the machine makes the experience so much more convenient than brewing a whole pot of tea for one person."
42848,B002NHYQAS,A2EF8N7ZE7ONWX,"Snap, Crackle and Pop",1,2,4,1299715200,A great organic chocolate option - dark chocolate for people who don't like dark chocolate?,"THE QUICK TAKE:  Newman's Own Organics Dark Chocolate is a great chocolate option.  At 54% cocoa solids, it's just over the edge of dark chocolate.  So it makes a nice change for those wanting dark chocolate that isn't so dark.  And, it's sustainably and responsibly produced - making it as guilt-free as chocolate gets.  The price at Amazon varies and can be high, so you'll need to look at the current price and your other options to decide what works for you.<br /><br />TASTE AND TEXTURE:  To have a little fun, we did a taste comparison to some other chocolate we had in the house.  The Newman's Own Dark Chocolate compared well to other premium and organic chocolate we had. It's decidedly darker, less sweet and firmer than a milk chocolate, with a very nice texture both to chew and on the tongue.  And it has some really nice subtleties to the flavor.  But it's not nearly as strong as what aficionados would consider a ""dark"" chocolate.  So it's a good option that might just hit the (bitter)sweet spot you are looking for in chocolate.<br /><br />PRICE:  These bars are relatively expensive.  That's to be expected for a premium chocolate that's organically produced.  We're lucky enough to have a lot of options for locally for organic chocolate.  Newman's Own is an excellent product, but you will want to compare it to the other options available to you.<br /><br />PRODUCTION: There are two important aspects that make this chocolate as guilt-free as chocolate gets:<br /><br />First, organic production.  Newman's Own has one of the largest organic chocolate sourcing operations in the world, which is highly commendable.  So you and your family get great tasting chocolate without consuming other things you don't want to eat; and, you also get the knowledge that the producers are working to minimize the impact of your consumption on the places where the chocolate is grown.<br /><br />Second, responsible sourcing.  Far too few people know that most of the world's cocoa production is tainted by child labor and often forced labor - or, in plain terms, slavery.  If that's news to you, Google chocolate slavery for some eye-opening information.  Or have a look at some of the Amazon listings, such as <a href=""http://www.amazon.com/gp/product/B003GAN1VQ"">Bitter Chocolate: The Dark Side of the World's Most Seductive Sweet</a>.<br /><br />All of that is a lot to fit into a chocolate bar - but Newman's Own has done that, and more, and offers you a lot of excellent options in chocolate.  If this one doesn't suit you, there are several more on Amazon."
2050,B001E5E29A,A195OAWQHITG0E,"38 TE Fountain Gal ""Striped Bass Lass""",0,0,5,1284681600,"Tasty, texture great",This is a great mix. I mixed it with milk instead of water.  Just follow the directions.
277314,B000VK8AVK,ATGKNPXJIBE42,Carol Sausen,0,0,4,1328140800,Great Flavor,This flavor is very good and unexpected.  The flavor of the cheese and garlic go well together and they are very crispy and satisfying.
393704,B005QRPH3M,A3GPW9NANH6WF2,Melanie,3,3,3,1321401600,My Dogs Were Not Very Enthused,"I tested these treats out on three dogs, a schnauzer mix, poodle mix, and a terrier mix.  They all got very excited when I opened the bag, but the terrier was the only one who seemed very enthused about the treat itself.  The other two kind of chewed on the treats for a minute or two, then just kind of stared at them.<br /><br />The treats are a little messy, especially near the end.  My dogs left tiny crumbs on the floor, so that's something to watch out for.  They're a good size, perfect for medium build dogs."
546359,B000YT9KMQ,A2I1KOVIGSQX0Z,"K. HARRIS ""INVENTER & ENGINEER""",2,2,5,1292371200,BEST QUICK SNACK EVER,I BOUGHT THESE FOR MY 10 MINUTE BREAK AT WORK. THEY TASTE GREAT AND ARE FRESH AS CAN BE. AND YES I COUNTED THERE WAS 150 IN THE BOX AS DESCRIBED. I WOULD ONLY RECOMMEND A PULL STRIP AT THE TOP FOR EASY OPENING. THIS WAS AN EXCELLENT FIND AFTER AN EXTENSIVE SEARCH FOR ECONOMICAL SNACK AT WORK. I WOULD RECOMMEND THIS PRODUCT FOR EVERYONE AND PLAN TO PURCHASE AGAIN.
185864,B0029NVGQS,A1176AZ7NH9T9J,Sarah R Ferranto,0,0,5,1299628800,Amazing Product!!,"We have two street rescues that we adopted off the streets in the Bahamas.  Both came to us with yellow stained teeth...after using Pedigree Dentastix religiously each day for less than one month, both have sparkling white teeth!!  Their groomer and the vet have both commented on how clean their teeth are and I rave about this product to everyone!!"
476866,B008BY7NSE,A2ASW6L6IEKU5L,john m,2,6,3,1329436800,Just Okay,This product mixes nicely and achieves the texture of peanut butter very nicely.While it does taste like peanuts it lacks the SWEETNESS of pb.Maybe it will taste better on bread or crackers with jelly but i like pb right out of the jar.I like the pb with chocolate much better.
316306,B000NBYPFM,AZJ2OEKVT4RWJ,J. Christiansen,7,7,3,1261180800,"good, but not the best","I ordered a case of 6, first try of this brand.  Starbuck's carmel sauce is $4.95 in their store, so I am looking for cheaper option that is at least as good as their product.  While I don't have regrets, the sauce is good and I will use it all, I will be looking for a better product for my next purchase.<br /><br />Side by side comparison with the Starbucks sauce, the torani is not as thick, not as rich or buttery.  Looking at the labels, the ingredients are almost identical between the two products, but the starbucks mix had butter as a much greater portion of the mix, and torani included high fructose corn syrup as a prevalent component.<br /><br />Note: not sure why its labeled with Mocha, there isn't any cocoa as part of the product."
234980,B000KV7ZGQ,AAOTD4Y7HN7T9,M. Bowman,0,1,2,1210723200,Not for every dog,"I have 2 Corgis, and also foster for Corgi Rescue. So far none of the four dogs I have had since buying this toy (my 2 plus 2 rescues) have played with it for more than a few minutes. They are all otherwise high energy, playful, food driven dogs.<br /><br />They LOVE Tricky Treat, Buster Cube and MolecuBall so I thought this would be a nice change. Big expensive yawn. I gave it two stars only because it appears well made. I bought it almost a year ago, and kept it around in case one of the foster Corgis might like it, but so far nothing. It is currently in the donate to the animal shelter box."
358013,B000PBHER6,A1OVNK1CFA0IMH,M. Nichols,0,0,4,1200096000,Fast - spicy - good,"This is a little spicier than I expected, but we found it to be a good product.  Good accompaniment to egg foo yung, or other non-spicy dish."
34691,B004772OUG,A1S2KZOEN1CQL5,DanS,1,1,2,1318723200,This is Earl Grey?,Doesn't taste like Bergamot thusly doesn't taste like Early Grey. No robustness of flavor. This is the first K-cup tea I've tried so I'm not sure if the temperature of the brew is off that's causing the flavor issue or the actual taste of the tea but I wouldn't recommend.
460758,B002MF62D0,A31F66VPMEOQU3,Chase Smith,0,1,1,1331683200,Warning: This is not Juicy Fruit.,"I love Juicy Fruit. In fact, it's one of my favorite kinds of gum. However, I recently bought a pack of this ""Juicy Fruit"" in this big, 60-piece pack, and all I can say is that I'm thoroughly disappointed. This gum tastes absolutely nothing like classic Juicy Fruit (which I have had as recently as a few weeks ago, so it's not my memory). I ate a couple pieces and spit it out in about 30 seconds of chewing. It has a very bitter, noxious taste and has a ""minty"" taste in it as well which is not characteristic of regular Juicy Fruit.<br /><br />Do not buy this. I will not be purchasing these ""big-e"" packs again, but I will be purchasing the sticks in the future."
388864,B0007ZNW2G,A22OICJE7B2CE0,Methos,0,1,2,1338508800,Jablum leaves me nonplused...,"When in Jamaica I drink JBM coffee and have come to develope a fine appreciation for the bean. What I opened this morning was not what I had expected. To be clear, I was greatly dissapointed. I found bits of husk from the bean, which doesn't make coffee, and is considered filler. The flavor left something to be desired as well, it tasted like folgers coffee without all the acid. I was hoping to leave a great review of this product, but honesty forbids it."
74769,B0026RQTGE,AF3YCQAYR2NGQ,Grandma,0,0,3,1342828800,"Dogs love it, but it caused upset tummies","I have three dogs.  They all loved the Greenies.  One dog does not chew her food, but gulps it whole.  I had to cut the Greenies into smaller portions for her.  It does help clean teeth, but caused diarrhea.  I think I'll look for another product for teeth cleaning."
209576,B000JFH89W,AASGTHPZP0G4I,AmazonConsumer,1,1,3,1252627200,Definitely NOT Fresh,"If you're looking for super-soft, super-fresh pieces, this is NOT it.  At least the product I received was not."
102033,B001SAZU5Q,A2U0Z5KMAUKZQJ,rubydooo,0,0,5,1304467200,Awesome,"This stuff is delicious and hard to find here in VT, so I ordered a case!  Mix 1 packet w/ a pint of sour cream and voila!, you've got ""Mom's Dip.""  It must be eaten w/ Ruffles potato chips for maximum effect.  It's freakin' delicious.  Not the fastest processing in the world, but that's kind of normal for this site.  Also not the fastest shipping, but it's free, so you can't complain there.  It did arrive on time.  Thanks Amazon!"
